Texture,Perimeter,Smoothness,Concavity,ConcavePoints,FractalDimension
16.74,98.73,0.09883,0.07721,0.06142,0.06869
24.49,92.33,0.1162,0.1357,0.06759,0.07237
16.32,81.25,0.1158,0.05928,0.03279,0.06612
19.83,152.1,0.09342,0.1676,0.1003,0.05484
12.87,61.49,0.1634,0.0973,0.05252,0.09502
13.14,64.12,0.1255,0.1188,0.07038,0.09575
20.04,79.47,0.1096,0.08175,0.02166,0.06894
17.12,71.25,0.1194,0.04063,0.04268,0.07976
15.7,104.7,0.09427,0.05526,0.04563,0.05657
23.95,103.8,0.1183,0.203,0.0852,0.07083
14.69,76.31,0.08099,0.06726,0.02639,0.06758
14.7,94.66,0.08472,0.03416,0.02541,0.05348
20.52,88.64,0.1106,0.1445,0.08172,0.07325
13.66,94.29,0.09832,0.08222,0.04349,0.0564
19.07,97.26,0.09215,0.07486,0.04335,0.05915
18.61,72.76,0.1049,0.04302,0.02594,0.06211
20.58,120.8,0.1068,0.1569,0.09451,0.05941
20.26,130.5,0.1037,0.1411,0.09431,0.06188
18.22,84.45,0.1218,0.04825,0.05303,0.07253
16.7,82.51,0.1125,0.0388,0.02995,0.06623
13.9,59.96,0.1371,0.03332,0.02421,0.07696
21.6,165.5,0.103,0.231,0.1471,0.06739
19.83,71.3,0.08511,0.005067,0.005664,0.06343
18.68,88.73,0.09916,0.05385,0.03783,0.06843
15.68,63.0,0.09492,0.0233,0.02416,0.06891
13.1,54.53,0.1036,0.02565,0.0151,0.07126
18.75,87.44,0.1075,0.04201,0.03152,0.06317
12.27,78.94,0.09003,0.02958,0.02647,0.05808
13.17,90.31,0.1248,0.101,0.06615,0.06457
13.44,77.83,0.11,0.03781,0.02798,0.06608
17.56,75.89,0.1073,0.05282,0.0444,0.06677
20.02,75.21,0.1016,0.042,0.02157,0.06461
16.33,87.76,0.09277,0.01752,0.0188,0.06155
20.67,134.7,0.09156,0.1523,0.1015,0.05419
17.62,70.79,0.09687,0.05263,0.02788,0.06408
20.86,137.8,0.1046,0.2085,0.1322,0.06251
22.55,93.77,0.1038,0.1463,0.06139,0.05982
24.44,76.37,0.1236,0.04515,0.04531,0.07405
25.49,47.98,0.08098,0.0,0.0,0.07285
25.44,48.34,0.08668,0.09252,0.01364,0.07751
14.44,74.65,0.09984,0.06737,0.02594,0.06782
24.99,95.81,0.08837,0.1009,0.0389,0.06341
25.42,94.7,0.08275,0.04105,0.03027,0.0568
28.06,84.88,0.08671,0.02987,0.03275,0.05781
20.7,89.77,0.09578,0.03688,0.02369,0.06688
23.23,87.19,0.09246,0.02974,0.02443,0.05801
16.35,65.31,0.09434,0.01012,0.005495,0.06201
16.58,65.85,0.08877,0.04358,0.02438,0.06714
19.34,61.05,0.08491,0.02337,0.009615,0.06235
24.21,68.89,0.08192,0.01548,0.00816,0.06328
21.48,68.51,0.07431,0.0,0.0,0.05948
22.44,71.49,0.09566,0.04824,0.02257,0.06552
29.43,81.35,0.08276,0.01997,0.01499,0.05637
21.94,59.01,0.0924,0.03996,0.01282,0.06576
28.92,82.5,0.08123,0.06195,0.02343,0.05708
27.61,65.67,0.0903,0.05999,0.02738,0.06127
19.59,64.73,0.1003,0.005025,0.01116,0.06331
27.88,59.26,0.08123,0.0,0.0,0.06059
22.68,96.39,0.08473,0.1029,0.03736,0.06147
23.93,74.52,0.09261,0.1112,0.04105,0.0657
27.15,91.38,0.09929,0.04462,0.04304,0.06171
29.37,70.67,0.07449,0.0,0.0,0.05502
30.62,103.4,0.1048,0.255,0.09429,0.07152
25.09,143.0,0.1099,0.3174,0.1474,0.06879
22.39,142.0,0.111,0.2439,0.1389,0.05623
28.25,131.2,0.0978,0.144,0.09791,0.05533
28.08,108.3,0.08455,0.09251,0.05302,0.05648
29.33,140.1,0.1178,0.3514,0.152,0.07016
24.54,47.92,0.05263,0.0,0.0,0.05884
